detid,mjd,ra,dec,mag,band1,obscode,ObjID
0,60795.033979226006,188.20654809984887,6.165953348204402,20.251544120618483,r,I11,K25F28Z
1,60795.035448367766,188.20675020690527,6.1677321301627615,20.311247319567848,r,I11,K25F28Z
2,60795.071146279304,188.2115414216229,6.210936159591174,20.429416307534513,r,I11,K25F28Z
3,60795.09297099848,188.21439227329293,6.237327661923538,20.375952373251874,r,I11,K25F28Z
4,60795.154893607265,188.2224664617137,6.312105093018792,20.8252084634724,g,I11,K25F28Z
5,60795.16655930801,188.22402661100023,6.326174463563271,20.786072226433618,g,I11,K25F28Z
6,60795.16754664082,188.22415978805608,6.32736586368941,20.9007221121973,g,I11,K25F28Z
7,60795.19716710158,188.228245864522,6.363066517124664,24.19854289429768,u,I11,K25F28Z
8,60795.20312092577,188.22909264443123,6.37023891996351,23.79442550643898,u,I11,K25F28Z
9,60795.20489180858,188.22934638891,6.37237208970996,25.562549020667113,u,I11,K25F28Z
10,60795.22306509908,210.21254485418828,-7.160357018519572,19.606759734042946,g,I11,K25H06Z
11,60795.223546736845,210.2133760961559,-7.161069001822632,19.44648584042596,g,I11,K25H06Z
12,60795.224036145846,210.21421950121453,-7.161791302919624,19.479152692596312,g,I11,K25H06Z
13,60795.224521073935,210.215056100524,-7.162507675149088,19.277919728274647,g,I11,K25H06Z
14,60795.22500469281,210.215891067074,-7.163222549031158,19.57416228792796,g,I11,K25H06Z
15,60795.225491903446,210.21673130276508,-7.1639418325447775,20.01710216339756,g,I11,K25H06Z
16,60795.22645526239,210.2183930772699,-7.16536409160343,20.56479016221118,g,I11,K25H06Z
17,60795.22693628171,210.2192232429704,-7.166074451943525,20.80474918543871,g,I11,K25H06Z
18,60795.2274276243,210.22007249171588,-7.166801036040137,20.989977753252212,g,I11,K25H06Z
19,60795.22794543546,210.22096500109248,-7.167564516833252,20.487478455466047,g,I11,K25H06Z
20,60795.228429300325,210.2218006426984,-7.168279243305027,20.144618819041142,g,I11,K25H06Z
21,60795.22891758583,210.222645016504,-7.169001331955131,20.02647227743592,g,I11,K25H06Z
22,60795.22988416246,210.2243133418386,-7.17042772766775,19.93061200863086,g,I11,K25H06Z
23,60795.23085054934,210.2259837956345,-7.171855517821645,19.50606931544577,g,I11,K25H06Z
24,60795.23181610143,210.2276512001074,-7.173280272789997,19.349220708834984,g,I11,K25H06Z
25,60795.23230097155,210.2284893763089,-7.173996309955204,19.25617883610243,g,I11,K25H06Z
26,60795.232792397044,210.2293380290466,-7.174721185033854,19.24124917616224,g,I11,K25H06Z
27,60795.23375175837,210.23099762060767,-7.176138394109704,19.872510840721276,g,I11,K25H06Z
28,60795.23422928006,210.2318223856209,-7.1768425401981455,19.939722147172105,g,I11,K25H06Z
29,60795.23472421402,210.23267838307493,-7.177573236324416,20.5642214241143,g,I11,K25H06Z
30,60795.23520584323,210.23351200819693,-7.178284722091468,21.5,g,I11,K25H06Z
31,60795.23572735395,210.2344132053348,-7.179053753548555,20.176684477123178,g,I11,K25H06Z
32,60795.236213719356,210.2352557058585,-7.179772577650123,19.8471732713643,g,I11,K25H06Z
33,60795.23669797073,210.2360931261571,-7.180486952870972,19.5671169950202,g,I11,K25H06Z
34,60795.241577948436,210.24454283434767,-7.18768861376355,20.087997578747363,i,I11,K25H06Z
35,60795.24256093927,210.24624632105727,-7.1891390291213,20.442199292261183,i,I11,K25H06Z
36,60795.24304912173,210.247092180918,-7.18985904171509,20.226959741835888,i,I11,K25H06Z
37,60795.24353407124,210.24793296102075,-7.190574607534365,19.65258711958809,i,I11,K25H06Z
38,60795.24401709043,210.24877039496027,-7.191287203344413,19.420859637288657,i,I11,K25H06Z
39,60795.24450443195,210.24961488561,-7.192005679886403,19.137807235905548,i,I11,K25H06Z
40,60795.24498706988,210.25045256258767,-7.192718235963396,19.002684305255748,i,I11,K25H06Z
41,60795.2454731382,210.2512955653357,-7.193435197614551,19.107548976354273,i,I11,K25H06Z
42,60795.24648463869,210.25305135309665,-7.194928065873283,19.278491789677325,i,I11,K25H06Z
43,60795.246970551874,210.25389474193608,-7.195644966818055,19.459981433774843,i,I11,K25H06Z
